warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 10, 'n_kv_head': 1, 'n_embd': 640, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 0
  lm_head                 : 5,242,880
  transformer_matrices    : 15,564,800
  scalars                 : 20
  total                   : 26,050,580
Estimated FLOPs per token: 1.445069e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.012065 | lrm: 0.00 | dt: 7241ms | tok/sec: 282 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011950 | lrm: 0.00 | dt: 1245ms | tok/sec: 1,644 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011543 | lrm: 0.00 | dt: 1246ms | tok/sec: 1,643 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011477 | lrm: 0.00 | dt: 1252ms | tok/sec: 1,635 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011570 | lrm: 0.00 | dt: 1239ms | tok/sec: 1,653 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011425 | lrm: 0.00 | dt: 1251ms | tok/sec: 1,637 | mfu: 5.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011465 | lrm: 0.00 | dt: 1244ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011418 | lrm: 0.00 | dt: 1249ms | tok/sec: 1,640 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011508 | lrm: 0.00 | dt: 1239ms | tok/sec: 1,653 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011385 | lrm: 0.00 | dt: 1249ms | tok/sec: 1,639 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011353 | lrm: 0.00 | dt: 1246ms | tok/sec: 1,643 | mfu: 5.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011261 | lrm: 0.00 | dt: 1247ms | tok/sec: 1,642 | mfu: 5.2% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 9.011213 | lrm: 0.83 | dt: 1245ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.982626 | lrm: 1.00 | dt: 1239ms | tok/sec: 1,652 | mfu: 5.2% | epoch: 1 | remaining: 296s    
step 00014 (1.2%) | loss: 8.912735 | lrm: 1.00 | dt: 1244ms | tok/sec: 1,646 | mfu: 5.2% | epoch: 1 | remaining: 295s    
step 00015 (1.7%) | loss: 8.813726 | lrm: 1.00 | dt: 1244ms | tok/sec: 1,645 | mfu: 5.2% | epoch: 1 | remaining: 294s    
step 00016 (2.1%) | loss: 8.727082 | lrm: 1.00 | dt: 1236ms | tok/sec: 1,657 | mfu: 5.2% | epoch: 1 | remaining: 293s    
step 00017 (2.5%) | loss: 8.660893 | lrm: 1.00 | dt: 1254ms | tok/sec: 1,633 | mfu: 5.1% | epoch: 1 | remaining: 291s    
step 00018 (2.9%) | loss: 8.613953 | lrm: 1.00 | dt: 1231ms | tok/sec: 1,663 | mfu: 5.2% | epoch: 1 | remaining: 290s    
step 00019 (3.3%) | loss: 8.546391 | lrm: 1.00 | dt: 1284ms | tok/sec: 1,594 | mfu: 5.0% | epoch: 1 | remaining: 289s    
step 00020 (3.7%) | loss: 8.477228 | lrm: 1.00 | dt: 1249ms | tok/sec: 1,639 | mfu: 5.2% | epoch: 1 | remaining: 288s    
step 00021 (4.2%) | loss: 8.403023 | lrm: 1.00 | dt: 1252ms | tok/sec: 1,635 | mfu: 5.1% | epoch: 1 | remaining: 286s    
step 00022 (4.6%) | loss: 8.342567 | lrm: 1.00 | dt: 1274ms | tok/sec: 1,607 | mfu: 5.0% | epoch: 1 | remaining: 285s    
step 00023 (5.0%) | loss: 9.266798 | lrm: 1.00 | dt: 1274ms | tok/sec: 1,607 | mfu: 5.1% | epoch: 1 | remaining: 284s    
step 00024 (5.4%) | loss: 9.970570 | lrm: 0.99 | dt: 1304ms | tok/sec: 1,570 | mfu: 4.9% | epoch: 1 | remaining: 282s    
step 00025 (5.9%) | loss: 10.469046 | lrm: 0.99 | dt: 1284ms | tok/sec: 1,594 | mfu: 5.0% | epoch: 1 | remaining: 281s    
step 00026 (6.3%) | loss: 10.747984 | lrm: 0.99 | dt: 1286ms | tok/sec: 1,593 | mfu: 5.0% | epoch: 1 | remaining: 280s    
step 00027 (6.7%) | loss: 10.799304 | lrm: 0.99 | dt: 1284ms | tok/sec: 1,594 | mfu: 5.0% | epoch: 1 | remaining: 279s    
step 00028 (7.1%) | loss: 10.652491 | lrm: 0.99 | dt: 1273ms | tok/sec: 1,608 | mfu: 5.1% | epoch: 1 | remaining: 277s    
step 00029 (7.6%) | loss: 10.570327 | lrm: 0.99 | dt: 1274ms | tok/sec: 1,607 | mfu: 5.0% | epoch: 1 | remaining: 276s    
step 00030 (8.0%) | loss: 10.467933 | lrm: 0.99 | dt: 1300ms | tok/sec: 1,574 | mfu: 4.9% | epoch: 1 | remaining: 275s    
step 00031 (8.4%) | loss: 10.322488 | lrm: 0.99 | dt: 1298ms | tok/sec: 1,578 | mfu: 5.0% | epoch: 1 | remaining: 273s    
step 00032 (8.9%) | loss: 10.165809 | lrm: 0.99 | dt: 1309ms | tok/sec: 1,564 | mfu: 4.9% | epoch: 1 | remaining: 272s    
