warning: `VIRTUAL_ENV=d:\Revi\Research Projects\.venv` does not match the project environment path `.venv` and will be ignored
W0419 12:49:40.468000 23548 .venv\Lib\site-packages\torch\_inductor\utils.py:1613] [1/1] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 9, 'n_kv_head': 1, 'n_embd': 576, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,718,592
  value_embeds            : 0
  lm_head                 : 4,718,592
  transformer_matrices    : 11,943,936
  scalars                 : 18
  total                   : 21,381,138
Estimated FLOPs per token: 1.159004e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.000000
Time budget: 360s (extended from 300s for current hardware)
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010979 | lrm: 0.00 | dt: 13725ms | tok/sec: 149 | mfu: 0.4% | epoch: 1 | remaining: 360s    
step 00001 (0.0%) | loss: 9.010918 | lrm: 0.00 | dt: 967ms | tok/sec: 2,117 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00002 (0.0%) | loss: 9.010958 | lrm: 0.00 | dt: 972ms | tok/sec: 2,107 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00003 (0.0%) | loss: 9.011101 | lrm: 0.00 | dt: 968ms | tok/sec: 2,114 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00004 (0.0%) | loss: 9.010822 | lrm: 0.00 | dt: 968ms | tok/sec: 2,116 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00005 (0.0%) | loss: 9.010604 | lrm: 0.00 | dt: 968ms | tok/sec: 2,116 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00006 (0.0%) | loss: 9.010598 | lrm: 0.00 | dt: 968ms | tok/sec: 2,114 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00007 (0.0%) | loss: 9.010555 | lrm: 0.00 | dt: 971ms | tok/sec: 2,108 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00008 (0.0%) | loss: 9.010800 | lrm: 0.00 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00009 (0.0%) | loss: 9.011002 | lrm: 0.00 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00010 (0.0%) | loss: 9.011006 | lrm: 0.00 | dt: 967ms | tok/sec: 2,117 | mfu: 5.3% | epoch: 1 | remaining: 360s    
step 00011 (0.0%) | loss: 9.011078 | lrm: 0.00 | dt: 969ms | tok/sec: 2,114 | mfu: 5.3% | epoch: 1 | remaining: 359s    
step 00012 (0.3%) | loss: 9.010999 | lrm: 0.54 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 358s    
step 00013 (0.5%) | loss: 8.991740 | lrm: 1.00 | dt: 970ms | tok/sec: 2,110 | mfu: 5.3% | epoch: 1 | remaining: 357s    
step 00014 (0.8%) | loss: 8.927208 | lrm: 1.00 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 356s    
step 00015 (1.1%) | loss: 8.820422 | lrm: 1.00 | dt: 969ms | tok/sec: 2,113 | mfu: 5.3% | epoch: 1 | remaining: 355s    
step 00016 (1.3%) | loss: 8.720305 | lrm: 1.00 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 354s    
step 00017 (1.6%) | loss: 8.641461 | lrm: 1.00 | dt: 976ms | tok/sec: 2,098 | mfu: 5.3% | epoch: 1 | remaining: 353s    
step 00018 (1.9%) | loss: 8.566195 | lrm: 1.00 | dt: 966ms | tok/sec: 2,119 | mfu: 5.3% | epoch: 1 | remaining: 352s    
step 00019 (2.2%) | loss: 8.434217 | lrm: 1.00 | dt: 966ms | tok/sec: 2,120 | mfu: 5.3% | epoch: 1 | remaining: 351s    
step 00020 (2.4%) | loss: 9.941416 | lrm: 1.00 | dt: 966ms | tok/sec: 2,119 | mfu: 5.3% | epoch: 1 | remaining: 350s    
step 00021 (2.7%) | loss: 10.791053 | lrm: 1.00 | dt: 967ms | tok/sec: 2,118 | mfu: 5.3% | epoch: 1 | remaining: 349s    
step 00022 (3.0%) | loss: 11.333631 | lrm: 1.00 | dt: 966ms | tok/sec: 2,119 | mfu: 5.3% | epoch: 1 | remaining: 348s    
step 00023 (3.2%) | loss: 11.697853 | lrm: 1.00 | dt: 967ms | tok/sec: 2,117 | mfu: 5.3% | epoch: 1 | remaining: 347s    
step 00024 (3.5%) | loss: 11.876849 | lrm: 1.00 | dt: 967ms | tok/sec: 2,118 | mfu: 5.3% | epoch: 1 | remaining: 346s    
step 00025 (3.8%) | loss: 11.893683 | lrm: 1.00 | dt: 966ms | tok/sec: 2,121 | mfu: 5.3% | epoch: 1 | remaining: 345s    
step 00026 (4.0%) | loss: 11.827930 | lrm: 1.00 | dt: 966ms | tok/sec: 2,120 | mfu: 5.3% | epoch: 1 | remaining: 345s    
step 00027 (4.3%) | loss: 11.695331 | lrm: 1.00 | dt: 970ms | tok/sec: 2,111 | mfu: 5.3% | epoch: 1 | remaining: 344s    
step 00028 (4.6%) | loss: 11.540755 | lrm: 1.00 | dt: 969ms | tok/sec: 2,114 | mfu: 5.3% | epoch: 1 | remaining: 343s    
step 00029 (4.8%) | loss: 11.350413 | lrm: 1.00 | dt: 968ms | tok/sec: 2,116 | mfu: 5.3% | epoch: 1 | remaining: 342s    
step 00030 (5.1%) | loss: 11.059434 | lrm: 1.00 | dt: 967ms | tok/sec: 2,117 | mfu: 5.3% | epoch: 1 | remaining: 341s    
step 00031 (5.4%) | loss: 10.927870 | lrm: 0.99 | dt: 967ms | tok/sec: 2,117 | mfu: 5.3% | epoch: 1 | remaining: 340s    
step 00032 (5.6%) | loss: 10.837472 | lrm: 0.99 | dt: 1004ms | tok/sec: 2,040 | mfu: 5.1% | epoch: 1 | remaining: 339s    
step 00033 (5.9%) | loss: 10.721197 | lrm: 0.99 | dt: 1011ms | tok/sec: 2,024 | mfu: 5.1% | epoch: 1 | remaining: 338s    
step 00034 (6.2%) | loss: 10.513838 | lrm: 0.99 | dt: 968ms | tok/sec: 2,115 | mfu: 5.3% | epoch: 1 | remaining: 337s    
step 00035 (6.5%) | loss: 10.365159 | lrm: 0.99 | dt: 966ms | tok/sec: 2,119 | mfu: 5.3% | epoch: 1 | remaining: 336s    
